game_id,player_id,team_id,game_date,goals,assists,shots,penalty_minutes,plus_minus
NHL_2024_BOS,8476374,BOS,2026-02-21,4,12,77,41,1
NHL_2024_BOS,8476854,BOS,2026-02-21,4,15,70,44,-8
NHL_2024_BOS,8477496,BOS,2026-02-21,11,26,70,34,0
NHL_2024_BOS,8477507,BOS,2026-02-21,1,16,66,123,20
NHL_2024_BOS,8477956,BOS,2026-02-21,22,49,183,40,2
NHL_2024_BOS,8478042,BOS,2026-02-21,14,14,124,20,8
NHL_2024_BOS,8478401,BOS,2026-02-21,15,22,87,28,-5
NHL_2024_BOS,8479325,BOS,2026-02-21,4,35,66,44,5
NHL_2024_BOS,8479362,BOS,2026-02-21,1,0,4,0,-1
NHL_2024_BOS,8479369,BOS,2026-02-21,4,8,59,20,-7
NHL_2024_BOS,8479591,BOS,2026-02-21,8,9,86,27,-3
NHL_2024_BOS,8479661,BOS,2026-02-21,6,14,62,52,3
NHL_2024_BOS,8479987,BOS,2026-02-21,32,22,129,16,-1
NHL_2024_BOS,8479999,BOS,2026-02-21,12,16,55,4,1
NHL_2024_BOS,8480035,BOS,2026-02-21,0,9,30,12,3
NHL_2024_BOS,8480355,BOS,2026-02-21,9,8,73,108,6
NHL_2024_BOS,8480828,BOS,2026-02-21,0,0,3,0,-1
NHL_2024_BOS,8480887,BOS,2026-02-21,1,1,9,0,0
NHL_2024_BOS,8481219,BOS,2026-02-21,2,5,23,33,22
NHL_2024_BOS,8481599,BOS,2026-02-21,0,1,8,0,3
NHL_2024_BOS,8481712,BOS,2026-02-21,0,0,4,0,-3
NHL_2024_BOS,8482177,BOS,2026-02-21,12,14,57,12,9
NHL_2024_BOS,8482511,BOS,2026-02-21,6,17,52,12,8
NHL_2024_BOS,8482634,BOS,2026-02-21,9,7,49,32,6
NHL_2024_BOS,8483489,BOS,2026-02-21,14,15,77,14,18
NHL_2024_BOS,8483505,BOS,2026-02-21,1,0,8,4,1
NHL_2024_BOS,8483567,BOS,2026-02-21,0,0,0,0,-1
NHL_2024_TOR,8475166,TOR,2026-02-21,20,27,140,20,-16
NHL_2024_TOR,8475171,TOR,2026-02-21,8,26,81,36,-1
NHL_2024_TOR,8475690,TOR,2026-02-21,0,2,8,0,8
NHL_2024_TOR,8475714,TOR,2026-02-21,6,1,33,6,-8
NHL_2024_TOR,8476853,TOR,2026-02-21,7,24,106,12,-17
NHL_2024_TOR,8476872,TOR,2026-02-21,8,3,47,12,-1
NHL_2024_TOR,8476931,TOR,2026-02-21,3,15,50,31,17
NHL_2024_TOR,8476988,TOR,2026-02-21,0,0,0,0,0
NHL_2024_TOR,8477503,TOR,2026-02-21,9,22,87,32,-17
NHL_2024_TOR,8477541,TOR,2026-02-21,1,0,5,11,-3
NHL_2024_TOR,8477939,TOR,2026-02-21,18,34,86,14,2
NHL_2024_TOR,8478057,TOR,2026-02-21,6,4,32,25,-2
NHL_2024_TOR,8478443,TOR,2026-02-21,0,5,39,21,4
NHL_2024_TOR,8478462,TOR,2026-02-21,5,15,52,6,2
NHL_2024_TOR,8478904,TOR,2026-02-21,4,10,48,12,2
NHL_2024_TOR,8479026,TOR,2026-02-21,0,2,31,14,-7
NHL_2024_TOR,8479318,TOR,2026-02-21,26,22,193,16,4
NHL_2024_TOR,8479442,TOR,2026-02-21,3,8,49,18,6
NHL_2024_TOR,8481122,TOR,2026-02-21,0,3,31,29,-5
NHL_2024_TOR,8481567,TOR,2026-02-21,0,0,4,0,-1
NHL_2024_TOR,8481582,TOR,2026-02-21,12,14,86,2,-2
NHL_2024_TOR,8481711,TOR,2026-02-21,10,14,58,8,-12
NHL_2024_TOR,8482259,TOR,2026-02-21,19,13,116,40,0
NHL_2024_TOR,8482720,TOR,2026-02-21,14,32,104,21,-11
NHL_2024_TOR,8483546,TOR,2026-02-21,0,0,1,0,0
NHL_2024_TOR,8484158,TOR,2026-02-21,7,10,65,14,2
NHL_2024_TOR,8484901,TOR,2026-02-21,0,0,1,0,2
NHL_2024_NYR,8475413,NYR,2026-02-21,0,0,1,0,-1
NHL_2024_NYR,8475842,NYR,2026-02-21,3,6,55,48,-3
NHL_2024_NYR,8476389,NYR,2026-02-21,12,24,79,30,-16
NHL_2024_NYR,8476459,NYR,2026-02-21,23,29,151,10,-21
NHL_2024_NYR,8476468,NYR,2026-02-21,14,22,107,16,-22
NHL_2024_NYR,8477320,NYR,2026-02-21,0,1,4,0,1
NHL_2024_NYR,8477380,NYR,2026-02-21,4,6,37,10,-5
NHL_2024_NYR,8477839,NYR,2026-02-21,1,8,55,8,-4
NHL_2024_NYR,8478840,NYR,2026-02-21,3,3,49,28,-5
NHL_2024_NYR,8478882,NYR,2026-02-21,9,12,84,28,-13
NHL_2024_NYR,8479323,NYR,2026-02-21,4,24,56,12,4
NHL_2024_NYR,8479390,NYR,2026-02-21,8,5,41,8,1
NHL_2024_NYR,8480001,NYR,2026-02-21,0,4,20,14,-2
NHL_2024_NYR,8481525,NYR,2026-02-21,4,7,47,30,-6
NHL_2024_NYR,8481704,NYR,2026-02-21,2,1,12,2,3
NHL_2024_NYR,8481726,NYR,2026-02-21,2,2,21,2,5
NHL_2024_NYR,8482073,NYR,2026-02-21,2,9,74,16,-15
NHL_2024_NYR,8482109,NYR,2026-02-21,12,20,107,14,-15
NHL_2024_NYR,8482132,NYR,2026-02-21,0,0,10,6,-1
NHL_2024_NYR,8482157,NYR,2026-02-21,13,14,109,39,-19
NHL_2024_NYR,8482460,NYR,2026-02-21,1,0,15,11,-4
NHL_2024_NYR,8482666,NYR,2026-02-21,0,6,23,4,-4
NHL_2024_NYR,8482747,NYR,2026-02-21,1,0,13,9,-5
NHL_2024_NYR,8482861,NYR,2026-02-21,0,3,10,12,-4
NHL_2024_NYR,8482877,NYR,2026-02-21,0,0,3,7,-2
NHL_2024_NYR,8483690,NYR,2026-02-21,6,10,50,22,-3
NHL_2024_NYR,8484210,NYR,2026-02-21,3,5,30,4,-3
NHL_2024_COL,8470613,COL,2026-02-21,9,17,119,20,28
NHL_2024_COL,8475754,COL,2026-02-21,29,20,125,22,7
NHL_2024_COL,8476312,COL,2026-02-21,5,19,87,64,37
NHL_2024_COL,8476391,COL,2026-02-21,0,0,1,0,1
NHL_2024_COL,8476455,COL,2026-02-21,7,15,87,27,18
NHL_2024_COL,8477476,COL,2026-02-21,19,23,132,12,34
NHL_2024_COL,8477492,COL,2026-02-21,40,53,244,18,48
NHL_2024_COL,8477501,COL,2026-02-21,12,22,107,18,7
NHL_2024_COL,8478038,COL,2026-02-21,1,12,71,18,27
NHL_2024_COL,8478109,COL,2026-02-21,10,14,103,6,2
NHL_2024_COL,8479387,COL,2026-02-21,0,1,0,4,-1
NHL_2024_COL,8479398,COL,2026-02-21,3,9,31,15,12
NHL_2024_COL,8479525,COL,2026-02-21,7,15,124,9,14
NHL_2024_COL,8479718,COL,2026-02-21,0,1,0,0,0
NHL_2024_COL,8480039,COL,2026-02-21,22,40,124,26,35
NHL_2024_COL,8480069,COL,2026-02-21,15,42,148,20,28
NHL_2024_COL,8480448,COL,2026-02-21,12,9,75,18,9
NHL_2024_COL,8480835,COL,2026-02-21,8,11,62,18,11
NHL_2024_COL,8481641,COL,2026-02-21,2,5,23,6,0
NHL_2024_COL,8482072,COL,2026-02-21,0,2,5,0,3
NHL_2024_COL,8482947,COL,2026-02-21,1,8,23,12,7
NHL_2024_COL,8482953,COL,2026-02-21,0,0,7,4,0
NHL_2024_COL,8483039,COL,2026-02-21,0,1,3,0,1
NHL_2024_COL,8483930,COL,2026-02-21,0,1,4,2,2
NHL_2024_COL,8484149,COL,2026-02-21,5,6,49,8,6
NHL_2024_COL,8484255,COL,2026-02-21,0,0,0,0,1
NHL_2024_COL,8484258,COL,2026-02-21,3,22,109,18,30
